v x y z
v 1.09145678126069 -0.0328495145428323 0.805322268102899
v 1.14795385438338 -0.0183115871231146 0.574194744284481
v 1.03956322751855 0.115797847648826 0.865171742531696
v 0.199903814875092 0.596772650257794 1.33421588734012
v 0.302984513676061 0.728747189571216 1.36731393851601
v 0.464363217896376 0.40547506729158 1.20763965175929
v 0.381302126165002 0.338975921116813 1.17282845652047
v 0.822939194804524 0.123042285242268 1.10554432582455
v 0.0992344908424809 0.282453151720206 1.31003872440528
v 0.215058194108775 0.288893273252945 1.2269727895171
v 0.310606239201008 0.182706979865664 1.22884671251834
v 0.206818107932758 0.230967067181042 1.26445911695072
v 0.443175083313017 -0.791325158113063 1.17087124382694
v 0.448928204895875 -0.745409752485332 1.19429980659859
v 0.521949308192031 -0.809813231604717 1.14016582651277
v 0.344162356461908 -0.724259842875943 1.29722759738883
v 0.261463054533572 -0.703118724291428 1.3857759029421
v 0.701597753346963 0.281181784852548 1.1313054678893
v 0.554683835030786 0.261795285631504 1.1563506832278
v 1.15465931657442 -0.25246091522166 -0.344849227981836
v 1.17005329164604 -0.280944328684467 -0.350639049307672
v 1.29301004991076 -0.0638802233022996 -0.562765987951575
v 1.30456775127146 0.0659081734328602 -0.573494909031009
v 1.22321011152561 -0.181742639848048 -0.30863120005891
v 1.26417917979261 0.528294663854114 -0.258140245716113
v 1.25151655250195 0.389693271091281 -0.24068636365599
v 1.36855673618251 0.701131153624935 -0.427664526794847
v 1.24130637938892 0.0161220463278395 -0.439808174466909
v 1.29490929775222 0.429283926000599 -0.410497272510125
v 1.20201188706123 0.270663164665897 -0.349372919263772
v 1.27073437946254 0.324368409923908 -0.427154264988195
v 1.32443740213479 0.377370851927019 -0.627656744925116
v 1.30767375190104 0.0373139509272429 -0.62359335534356
v 1.19570467453604 -0.190878249672893 -0.245091041622571
v 1.22415362267676 -0.0865091279155874 -0.296696868110059
v 1.21189680941746 -0.103002002953301 -0.218894214849928
v 1.23305091459349 0.105869954211532 -0.199930286996865
v 1.23488977751741 0.000856205863007636 -0.286996504096103
v 1.25333491133321 0.0904990716314702 -0.284050082927924
v 1.22028907167671 0.0799494188968631 -0.390436294107485
v 1.36143725324587 0.512139972688625 -0.613537640661098
v 1.36099686622503 0.672568023873224 -0.607464952178707
v 1.31744151891428 0.516906201757043 -0.514076953784179
v 0.887435381342992 0.340785558461932 1.0632544919077
v 0.820355701241734 0.390463207006536 1.11745874005006
v 1.08439508878744 -0.527759341742908 -0.434927485897074
v 1.13274750503414 -0.381445171323509 -0.349807630718294
v 1.09064719771258 -0.566880893057981 -0.164946942515139
v 1.20241817780676 0.0698107880588835 0.104784113367
v 1.21729930945162 0.0978904613208376 -0.0719065480293193
v 0.884925487033687 -0.980736862720446 -0.533419292740104
v 0.96692493670883 -0.75764149921186 -0.778383073800207
v 0.295634301235333 -0.903151687829109 1.26248376570137
v 0.727498066648408 -0.425728534380785 -1.34742164512387
v 0.85171388663994 -0.410169862331895 -1.2025116823976
v 1.03098598189738 1.52071704527008 0.494771041483938
v 0.905181388519094 1.73722792463004 0.542825374591921
v 0.883440162018337 1.58779603110377 0.751961346265767
v 1.50691800039437 0.454096570520234 -0.81721463823738
v 1.46048737023184 0.463669750102426 -0.887348141958733
v 1.484254787254 0.273185233807231 -0.765280849821373
v 1.42353619976122 0.261322798083637 -0.82924146406906
v 1.38062007065171 0.0656362297889264 -0.764976220324354
v 1.4415777204106 0.0555493998165774 -0.703830645747307
v 1.25724864237725 0.361151300718048 -0.287986715014819
v 1.33344369152816 0.29862195894373 -0.83456643606659
v 1.26518701459449 0.124277005124347 -0.745054024367071
v 1.31187155595081 -0.168159484230303 -0.561898594622144
v 1.27818552930866 -0.200749137264152 -0.627458642415568
v 1.34418811901765 -0.0871576821502864 -0.709649370161733
v 1.40215672496833 -0.0712381353760081 -0.63272298225576
v 1.26405106001512 -0.223707841787916 -0.381701946899188
v 1.29327592541294 -0.147227802312013 -0.451499025456513
v 1.18164627983697 -0.19518487124981 -0.554474639710663
v 1.23335023179724 -0.296430870485374 -0.412549307974201
v 1.19495595568251 -0.278760364401 -0.424406955441684
v 1.36665560869029 0.614510654047761 -0.331732822680747
v 1.29134576562698 0.514739872553298 -0.275159196754081
v 1.38391826269392 0.263694807067637 -0.681997581665805
v 1.35305860336431 0.620276734143101 -0.735889695747936
v 1.35723527845728 0.593651686741571 -0.350544332655543
